Year,Mean_Wage,Median_Wage,Professor_Wage
1991-01-01,20924,15076,42165
1992-01-01,22002,15610,43851
1993-01-01,22191,15691,44714
1994-01-01,22787,16118,46364
1995-01-01,23700,16650,47811
1996-01-01,24859,17403,49309
1997-01-01,26310,18277,50829
1998-01-01,27687,19157,52335
1999-01-01,29230,20102,54097
2000-01-01,30846,20957,55888
2001-01-01,31582,21767,57373
2002-01-01,31899,22153,59742
2003-01-01,32678,22577,61330
2004-01-01,34198,23356,62579
2005-01-01,35449,23962,64234
2006-01-01,37078,24892,66172
2007-01-01,38761,25737,68479
2008-01-01,39653,26514,71101
2009-01-01,39055,26261,73587
2010-01-01,39959,26364,74620
2011-01-01,41211,26965,75481
2012-01-01,42498,27519,76567
2013-01-01,43041,28031,77278
2014-01-01,44569,28851,78733
2015-01-01,46120,29930,80157
2016-01-01,46641,30533,82224
2017-01-01,48252,31561,84737
2018-01-01,50000,32838,86870
2019-01-01,51916,34248,88703
2020-01-01,53383,34612, 
